File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Mo,Mo Err,Cd,Cd Err,Ba,Ba Err,Hg,Hg Err,Pb,Pb Err,Cal Check,,,,,,
4280,2/1/2015 12:42,Supervisor,guat,p,t3,b3,mm,PlantsF1,PlantsF1,60,,0,,0,,0,< LOD,0.2924,0.1232,0.0311,15.6441,0.1108,0.007,0.0039,0.0274,0.0025,0.2173,0.017,1.1421,0.0059,1.4578,0.0253,< LOD,0.0003,< LOD,0,0.0004,0.0002,0.0024,0.0008,0.0033,0.0004,< LOD,0.0001,0.0008,0.0001,0.0017,0.0002,< LOD,0.0002,< LOD,0.0001,0.0009,0.0002,0.0014,0.0003,0.0009,0.0002,< LOD,0.0002,< LOD,0.0018,< LOD,0.0101,< LOD,0.0002,< LOD,0.0005,Passed,,,,,,
4281,2/1/2015 12:45,Supervisor,guat,p,t3,b3,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.3484,0.2866,0.0614,0.0275,5.4993,0.0661,0.016,0.0042,0.013,0.0023,0.0363,0.0147,0.5837,0.0041,2.0762,0.0322,< LOD,0.0003,< LOD,0,0.0003,0.0002,0.002,0.0006,0.0033,0.0004,< LOD,0.0001,0.0008,0.0001,0.0012,0.0002,< LOD,0.0002,< LOD,0.0001,0.0005,0.0002,0.0008,0.0003,0.0006,0.0003,< LOD,0.0002,< LOD,0.0016,< LOD,0.0107,< LOD,0.0002,< LOD,0.0006,Passed,,,,,,
4282,2/1/2015 12:48,Supervisor,guat,p,t3,con,mm,PlantsF1,PlantsF1,60,,0,,0,,0,0.3406,0.3096,0.0692,0.0337,0.0724,0.0183,0.2117,0.0075,0.2602,0.0048,0.0422,0.0149,1.557,0.0068,0.3796,0.0122,0.0003,0.0003,< LOD,0,< LOD,0.0003,0.1349,0.0017,0.0114,0.0008,0.0004,0.0002,0.0012,0.0001,0.0022,0.0001,< LOD,0.0001,< LOD,0.0002,0.0005,0.0002,0.0066,0.0002,0.0008,0.0002,< LOD,0.0003,< LOD,0.0022,< LOD,0.0079,< LOD,0.0002,< LOD,0.0004,Passed,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Cal Check
4283,1/1/2006 12:03,Supervisor,guat,p,t3,con,mm,Soil,SoilNCDual,60,,0,,0,,0,3.7564,0.8173,1.6866,0.0659,16.7575,0.0317,0.0094,0.0028,< LOD,0.0089,0.4943,0.0085,0.8275,0.0089,0.0663,0.0028,0.0052,0.0006,< LOD,0.0009,0.0053,0.001,0.6178,0.0092,< LOD,0.0031,0.001,0.0005,< LOD,0.0004,0.0025,0.0005,< LOD,0.0008,< LOD,0.0008,0.0016,0.0005,0.0015,0.0011,0.0185,0.0014,< LOD,0.0046,< LOD,0.0046,0.0033,0.003,< LOD,0.0034,< LOD,0.0141,< LOD,0.0006,< LOD,0.0016,0.0047,0.0035,Passed
4284,1/1/2006 12:07,Supervisor,guat,pottery,3,con,mm,Soil,SoilNCDual,60,,0,,0,,0,2.4249,0.7019,5.4991,0.0975,22.4727,0.0503,0.0884,0.0057,0.3945,0.0138,1.1347,0.013,2.6387,0.0157,0.1012,0.0037,0.0061,0.0006,0.0038,0.001,0.0293,0.0015,2.3902,0.019,< LOD,0.0019,0.002,0.0007,0.0008,0.0005,0.0066,0.0007,0.0013,0.0004,< LOD,0.0004,0.0124,0.0008,0.0078,0.0007,0.0126,0.0007,< LOD,0.0024,< LOD,0.0025,< LOD,0.0017,< LOD,0.0049,0.0595,0.02,< LOD,0.0008,< LOD,0.0008,< LOD,0.0018,Passed
4285,1/1/2006 12:09,Supervisor,guat,pottery,2,con,mm,Soil,SoilNCDual,60,,0,,0,,0,3.3987,1.0015,2.7396,0.0763,16.7817,0.0415,0.369,0.0089,3.0649,0.0333,0.8499,0.0111,5.3836,0.023,0.0595,0.0039,< LOD,0.0007,0.0031,0.0011,0.0236,0.0015,2.3099,0.0203,0.0022,0.0016,0.0018,0.0008,0.0033,0.0008,0.0103,0.001,0.0006,0.0004,< LOD,0.0004,0.0126,0.0009,0.0117,0.0007,0.0148,0.0007,< LOD,0.0021,< LOD,0.0024,< LOD,0.0015,< LOD,0.0059,0.1447,0.0271,< LOD,0.0009,< LOD,0.0007,0.0032,0.0018,Passed
File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,Included in Average,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Cal Check
4286,1/1/2006 12:11,Supervisor,guat,pottery,2,con,mm,Soil,,4283 4284 4285,,0,,0,,0,3.1933,0.8403,3.3084,0.0799,18.6706,0.0412,0.1556,0.0058,1.156,0.0187,0.8263,0.0108,2.9499,0.0158,0.0757,0.0034,0.0039,0.0006,0.0023,0.001,0.0194,0.0013,1.7726,0.0162,< LOD,0.0022,0.0016,0.0007,0.0015,0.0006,0.0065,0.0007,0.0006,0.0006,< LOD,0.0005,0.0089,0.0007,0.007,0.0008,0.0153,0.0009,< LOD,0.003,< LOD,0.0032,< LOD,0.0021,< LOD,0.0047,0.072,0.0204,< LOD,0.0008,< LOD,0.001,0.0027,0.0024,Passed
File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Cal Check
4287,1/1/2006 12:12,Supervisor,guat,pottery,1,con,mm,Soil,SoilNCDual,60,,0,,0,,0,2.9435,0.8723,3.5807,0.0824,18.231,0.0407,0.0381,0.0045,0.1105,0.0111,0.632,0.0096,4.1515,0.0196,0.1487,0.0039,0.0089,0.0007,< LOD,0.001,0.0114,0.0012,0.3875,0.0078,< LOD,0.0027,0.0007,0.0005,< LOD,0.0004,0.0013,0.0004,< LOD,0.0009,< LOD,0.0008,0.0013,0.0004,0.0044,0.0012,0.0301,0.0017,< LOD,0.0046,< LOD,0.0051,0.0069,0.0035,< LOD,0.003,< LOD,0.0125,< LOD,0.0005,< LOD,0.0016,< LOD,0.0036,Passed
4288,1/1/2006 12:15,Supervisor,guat,pottery,5,con,mm,Soil,SoilNCDual,60,,0,,0,,0,3.7939,0.8184,1.6291,0.0594,18.1659,0.0372,0.0051,0.0026,0.0381,0.0091,0.654,0.0096,0.5287,0.0072,0.024,0.0026,< LOD,0.0005,< LOD,0.0008,0.0045,0.0009,0.8585,0.0108,< LOD,0.0021,0.0011,0.0006,< LOD,0.0004,0.0032,0.0006,0.0011,0.0006,< LOD,0.0006,0.0072,0.0007,0.0084,0.0009,0.0117,0.001,< LOD,0.0036,< LOD,0.0034,< LOD,0.0022,< LOD,0.0042,0.0571,0.0181,< LOD,0.0007,< LOD,0.0011,< LOD,0.0026,Passed
4289,1/1/2006 12:03,Supervisor,guat,ped,1,con,mm,Soil,SoilNCDual,60,,0,,0,,0,3.6419,1.1973,5.0284,0.0768,16.0677,0.0491,0.2006,0.0081,1.0414,0.0213,0.2928,0.0065,15.5246,0.0394,< LOD,0.0036,0.0027,0.0008,< LOD,0.0013,0.0055,0.0017,0.2583,0.0078,< LOD,0.0004,0.001,0.0007,0.001,0.0007,0.002,0.0006,< LOD,0.0003,< LOD,0.0003,< LOD,0.0008,< LOD,0.0005,< LOD,0.0004,< LOD,0.0013,< LOD,0.0022,< LOD,0.0016,< LOD,0.0066,0.0367,0.0282,< LOD,0.0009,< LOD,0.0006,< LOD,0.0015,Passed
File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Pb,Pb Err,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,
4290,1/1/2006 12:06,Supervisor,guat,ped,2,con,mm,Soil,SoilNCDual,1,,0,,0,,0,0.0065,0.0053,< LOD,0.0049,< LOD,0.0021,< LOD,0.0013,< LOD,0.0014,< LOD,0.0039,< LOD,0.0017,0.0025,0.0018,0.005,0.0035,0.0052,0.0035,0.0174,0.014,0.0224,0.0166,0.0341,0.0128,0.0175,0.0105,0.085,0.0489,< LOD,0.0006,0.0204,0.0152,Passed,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Cal Check
4291,1/1/2006 12:08,Supervisor,guat,ped,3,con,mm,Soil,SoilNCDual,60,,0,,0,,0,2.6855,0.7357,< LOD,0.0643,25.1294,0.0952,0.0451,0.0045,0.0427,0.0073,0.0701,0.0049,4.5093,0.0195,< LOD,0.0023,0.0035,0.0005,0.0027,0.0009,0.0049,0.0014,0.0439,0.0027,< LOD,0.0004,0.0007,0.0005,< LOD,0.0004,0.0003,0.0003,< LOD,0.0004,< LOD,0.0004,< LOD,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0026,< LOD,0.0028,< LOD,0.0017,< LOD,0.0048,< LOD,0.0186,< LOD,0.0008,< LOD,0.0008,< LOD,0.0018,Passed
4292,1/1/2006 12:12,Supervisor,guat,ped,4,con,mm,Soil,SoilNCDual,60,,0,,0,,0,2.1342,0.7385,0.4838,0.0759,25.4486,0.1016,0.07,0.0056,0.0534,0.0079,0.082,0.0053,7.2663,0.0251,< LOD,0.0028,< LOD,0.0006,0.0028,0.0011,0.0031,0.0016,0.0747,0.0038,< LOD,0.0002,0.001,0.0007,< LOD,0.0005,0.0008,0.0004,< LOD,0.0003,< LOD,0.0003,< LOD,0.0007,0.0006,0.0004,< LOD,0.0004,< LOD,0.0016,< LOD,0.0019,< LOD,0.0012,< LOD,0.0069,0.0576,0.0286,< LOD,0.001,< LOD,0.0005,< LOD,0.0012,Passed
4293,1/1/2006 12:13,Supervisor,guat,ped,5,con,mm,Soil,SoilNCDual,60,,0,,0,,0,4.4916,1.0213,1.3349,0.0594,17.0863,0.054,0.0553,0.0049,< LOD,0.0093,0.1289,0.005,6.6815,0.0247,< LOD,0.0023,0.0021,0.0006,< LOD,0.001,0.0056,0.0013,0.0618,0.0033,< LOD,0.0004,0.0009,0.0005,0.0005,0.0004,0.0012,0.0004,< LOD,0.0004,< LOD,0.0004,< LOD,0.0006,0.0006,0.0006,< LOD,0.0006,< LOD,0.0024,< LOD,0.0028,< LOD,0.0018,< LOD,0.0051,< LOD,0.022,< LOD,0.0008,< LOD,0.0008,< LOD,0.0019,Passed
4294,1/1/2006 12:04,Supervisor,guat,soil,pt1,1,mm,Soil,SoilNCDual,60,,0,,0,,0,4.6755,0.9073,< LOD,0.0398,13.0838,0.0186,0.0068,0.0026,0.021,0.0094,0.0758,0.004,1.4042,0.0115,< LOD,0.0018,< LOD,0.0006,< LOD,0.0008,< LOD,0.0008,0.3132,0.0066,< LOD,0.0029,< LOD,0.0004,0.0007,0.0004,0.002,0.0005,< LOD,0.0011,< LOD,0.001,0.0014,0.0005,< LOD,0.0013,0.0108,0.0015,< LOD,0.0045,< LOD,0.0042,0.0036,0.0026,< LOD,0.0021,< LOD,0.0081,< LOD,0.0006,< LOD,0.0022,0.0045,0.0044,Passed
4295,1/1/2006 12:06,Supervisor,guat,soil,pt1,2,mm,Soil,SoilNCDual,60,,0,,0,,0,3.2577,0.916,1.483,0.0722,16.1119,0.0401,0.0175,0.0035,0.0945,0.0109,0.1524,0.0055,2.3947,0.0151,0.0921,0.0033,0.0067,0.0007,0.0021,0.0011,0.0264,0.0014,1.3822,0.0144,< LOD,0.0014,0.0024,0.0007,0.0021,0.0006,0.0054,0.0007,0.0005,0.0004,< LOD,0.0004,0.005,0.0008,0.0014,0.0005,0.0155,0.0007,< LOD,0.0021,< LOD,0.0022,< LOD,0.0013,< LOD,0.0048,< LOD,0.0189,< LOD,0.0009,< LOD,0.0007,< LOD,0.0018,Passed
4296,1/1/2006 12:09,Supervisor,guat,soil,pt1,3,mm,Soil,SoilNCDual,60,,0,,0,,0,3.633,0.9349,2.7632,0.0828,17.8009,0.0464,0.0362,0.0044,0.3054,0.0139,0.3382,0.0077,3.6739,0.0187,0.132,0.0039,0.0077,0.0008,0.0035,0.0012,0.0633,0.0019,1.6603,0.0162,< LOD,0.0014,0.0027,0.0008,0.0034,0.0008,0.0066,0.0008,0.0006,0.0004,< LOD,0.0004,0.0059,0.0009,0.0013,0.0005,0.0158,0.0007,< LOD,0.0019,< LOD,0.002,< LOD,0.0012,< LOD,0.0047,< LOD,0.0182,< LOD,0.001,< LOD,0.0008,< LOD,0.0018,Passed
4297,1/1/2006 12:11,Supervisor,guat,soil,pt1,4,mm,Soil,SoilNCDual,60,,0,,0,,0,3.9162,0.9096,0.9495,0.0553,15.6901,0.0304,0.0095,0.0029,0.0372,0.0096,0.1876,0.0056,1.4141,0.0115,0.0454,0.0026,0.005,0.0006,0.0009,0.0009,0.0198,0.0012,0.8195,0.0108,< LOD,0.002,0.0007,0.0005,0.0015,0.0005,0.0036,0.0006,< LOD,0.0006,< LOD,0.0006,0.0038,0.0007,0.0014,0.0008,0.0148,0.001,< LOD,0.003,< LOD,0.0028,< LOD,0.0017,< LOD,0.0035,< LOD,0.0129,< LOD,0.0007,< LOD,0.0011,0.0028,0.0026,Passed
4298,1/1/2006 12:13,Supervisor,guat,soil,st2,1,mm,Soil,SoilNCDual,60,,0,,0,,0,4.8901,1.5545,2.5887,0.0574,9.0384,0.0227,0.126,0.0073,0.4257,0.0184,0.1426,0.0049,17.918,0.0438,< LOD,0.0034,< LOD,0.001,< LOD,0.0015,< LOD,0.0019,0.1008,0.005,< LOD,0.0004,0.0007,0.0006,0.0024,0.0007,0.0036,0.0007,< LOD,0.0005,< LOD,0.0005,0.0009,0.0009,0.0047,0.0007,0.0007,0.0006,< LOD,0.0011,< LOD,0.0021,< LOD,0.0013,< LOD,0.0041,0.018,0.0159,< LOD,0.001,< LOD,0.001,< LOD,0.0023,Passed
4299,1/1/2006 12:16,Supervisor,guat,soil,st2,2,mm,Soil,SoilNCDual,60,,0,,0,,0,3.2799,1.2576,2.8219,0.0578,12.1829,0.0307,0.11,0.0066,0.3499,0.016,0.6478,0.0091,13.9058,0.0377,< LOD,0.0029,< LOD,0.0008,< LOD,0.0013,0.0035,0.0016,0.1358,0.0055,< LOD,0.0005,0.0007,0.0005,0.0014,0.0006,0.0029,0.0007,< LOD,0.0004,< LOD,0.0004,0.0021,0.0008,0.0043,0.0006,0.0014,0.0006,< LOD,0.0015,< LOD,0.0023,< LOD,0.0015,< LOD,0.0045,0.0229,0.019,< LOD,0.0009,< LOD,0.0008,< LOD,0.002,Passed
4300,1/1/2006 12:19,Supervisor,guat,soil,st2,3,mm,Soil,SoilNCDual,60,,0,,0,,0,4.8488,0.9817,0.5189,0.0374,13.6905,0.0172,0.0231,0.0035,0.0973,0.0111,0.0886,0.0042,3.1807,0.0171,< LOD,0.0018,< LOD,0.0006,< LOD,0.0009,< LOD,0.0009,0.0961,0.0038,< LOD,0.0018,< LOD,0.0004,0.0007,0.0004,0.0011,0.0004,< LOD,0.0012,< LOD,0.0012,< LOD,0.0004,0.0023,0.0015,0.0026,0.0014,< LOD,0.0045,< LOD,0.0046,0.0052,0.0028,< LOD,0.0018,< LOD,0.0075,< LOD,0.0006,< LOD,0.0024,< LOD,0.0054,Passed
4301,1/1/2006 12:27,Supervisor,guat,soil,st2,4,mm,Soil,SoilNCDual,60,,0,,0,,0,6.0281,1.0311,0.0751,0.0313,13.029,0.0117,0.0186,0.0032,0.0346,0.01,0.0539,0.0036,2.7538,0.0158,< LOD,0.0014,< LOD,0.0005,< LOD,0.0008,< LOD,0.0008,0.0178,0.0016,< LOD,0.0008,< LOD,0.0004,< LOD,0.0003,0.001,0.0004,< LOD,0.0011,< LOD,0.0011,< LOD,0.0004,0.0038,0.0015,< LOD,0.0013,< LOD,0.0046,< LOD,0.0044,0.0036,0.0028,< LOD,0.002,0.0083,0.0078,< LOD,0.0006,< LOD,0.0021,< LOD,0.0048,Passed
4302,1/1/2006 12:31,Supervisor,guat,soil,st3,1,mm,Soil,SoilNCDual,60,,0,,0,,0,5.1779,0.9403,< LOD,0.0307,13.2901,0.0115,0.0091,0.0027,< LOD,0.0088,0.0475,0.0035,1.8159,0.0129,< LOD,0.0014,< LOD,0.0004,< LOD,0.0007,< LOD,0.0006,0.0474,0.0026,< LOD,0.0021,< LOD,0.0003,< LOD,0.0003,0.0007,0.0003,< LOD,0.0013,< LOD,0.0013,0.0005,0.0003,0.0043,0.0018,0.0031,0.0017,< LOD,0.0066,< LOD,0.0061,0.0109,0.0039,< LOD,0.0017,< LOD,0.0073,< LOD,0.0004,< LOD,0.0022,< LOD,0.0058,Passed
4303,1/1/2006 12:34,Supervisor,guat,soil,st3,2,mm,Soil,SoilNCDual,60,,0,,0,,0,4.3402,0.9187,0.0528,0.0306,13.502,0.0111,0.0125,0.0029,< LOD,0.0094,0.0458,0.0035,1.8235,0.0129,< LOD,0.0013,< LOD,0.0005,< LOD,0.0007,< LOD,0.0007,0.0172,0.0016,< LOD,0.0013,< LOD,0.0004,< LOD,0.0003,0.0007,0.0003,< LOD,0.0014,< LOD,0.0014,< LOD,0.0004,< LOD,0.0019,0.0021,0.0018,< LOD,0.0065,< LOD,0.0064,0.0076,0.004,< LOD,0.0018,< LOD,0.007,< LOD,0.0005,< LOD,0.0028,< LOD,0.0064,Passed
