Position,Bin_Number,Outlier,File #,DateTime,Operator,Name,ID,Field1,Field2,test,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Cal Check
5,T5R1,0,4794,1/30/2006 17:52,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.8629,0.5851,5.6162,0.1418,26.2687,0.0859,0.0143,0.0036,1.4998,0.0196,1.2525,0.0142,1.2622,0.0108,0.0419,0.0033,< LOD,0.0004,< LOD,0.0009,0.0136,0.0014,1.2016,0.0134,< LOD,0.0008,< LOD,0.0007,0.0014,0.0006,0.0023,0.0005,< LOD,0.0003,< LOD,0.0003,0.0117,0.0008,0.0459,0.0008,0.011,0.0005,< LOD,0.002,< LOD,0.002,< LOD,0.0014,< LOD,0.0066,0.146,0.0275,< LOD,0.0009,< LOD,0.0005,< LOD,0.0012,Passed
6,T5R1,0,4795,1/30/2006 17:54,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.986,0.4605,6.3434,0.1363,28.4726,0.087,0.0149,0.0038,0.8443,0.0145,1.1229,0.0136,1.4056,0.0111,0.0538,0.0033,0.0017,0.0004,< LOD,0.0008,0.0395,0.0016,1.5929,0.0153,< LOD,0.001,0.0012,0.0008,0.0012,0.0005,0.003,0.0005,0.0005,0.0003,< LOD,0.0003,0.0114,0.0007,0.0448,0.0008,0.0106,0.0005,< LOD,0.002,< LOD,0.002,0.002,0.0014,< LOD,0.0063,0.1037,0.0253,< LOD,0.0009,< LOD,0.0005,0.0016,0.0012,Passed
7,T5R1,0,4796,1/30/2006 17:55,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.165,0.5776,6.1738,0.1203,24.8031,0.0664,0.0314,0.0047,0.986,0.0181,1.0712,0.0133,1.7387,0.013,0.2237,0.0048,0.0083,0.0006,0.0058,0.0011,0.0604,0.002,3.6504,0.0237,0.003,0.0013,0.0018,0.0009,0.0032,0.0008,0.0092,0.0009,0.0005,0.0003,< LOD,0.0003,0.0133,0.0009,0.0315,0.0007,0.0358,0.0007,< LOD,0.0017,< LOD,0.0018,< LOD,0.0012,< LOD,0.0066,0.1041,0.0272,< LOD,0.0011,< LOD,0.0006,0.0019,0.0012,Passed
8,T5R1,0,4797,1/30/2006 17:57,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.9259,0.4637,6.1344,0.1245,27.6704,0.0783,0.0295,0.0044,0.4525,0.0125,1.5872,0.0161,0.8838,0.0094,0.2724,0.005,0.0075,0.0005,0.0066,0.001,0.0565,0.0019,3.7754,0.0235,0.0031,0.0013,0.0013,0.0009,0.0023,0.0007,0.0099,0.0009,0.0009,0.0003,< LOD,0.0003,0.0121,0.0008,0.0216,0.0006,0.0352,0.0007,< LOD,0.0017,< LOD,0.0018,< LOD,0.0012,< LOD,0.0066,0.1201,0.026,< LOD,0.001,< LOD,0.0005,0.0015,0.0012,Passed
8,T5R1,0,4798,1/30/2006 17:58,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,3.4005,0.8089,1.2969,0.0574,16.7264,0.0285,< LOD,0.0022,0.0899,0.01,0.2853,0.0066,0.2245,0.0049,< LOD,0.0017,< LOD,0.0005,< LOD,0.0007,< LOD,0.0007,0.1867,0.005,< LOD,0.0024,< LOD,0.0004,< LOD,0.0003,0.0006,0.0003,< LOD,0.0009,< LOD,0.0008,0.0022,0.0005,0.0352,0.002,0.0065,0.0015,< LOD,0.0058,< LOD,0.0057,0.0103,0.0036,< LOD,0.003,0.0196,0.0131,< LOD,0.0006,< LOD,0.0018,< LOD,0.0042,Passed
9,T5R1,0,4799,1/30/2006 18:00,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.2506,0.4981,4.1827,0.125,28.6751,0.0935,0.0213,0.0036,0.0847,0.0072,1.0417,0.0131,0.6072,0.0075,0.088,0.0035,0.0009,0.0004,0.0079,0.0009,0.0144,0.0014,1.278,0.0133,< LOD,0.0009,0.0008,0.0007,0.0006,0.0005,0.0029,0.0005,0.0004,0.0003,< LOD,0.0003,0.0067,0.0007,0.02,0.0006,0.0143,0.0006,< LOD,0.002,< LOD,0.0019,< LOD,0.0013,< LOD,0.0062,0.1002,0.0243,< LOD,0.0009,< LOD,0.0005,0.0013,0.0012,Passed
1,T5R3,0,4800,1/30/2006 18:02,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,3.3058,0.7474,1.5878,0.0705,19.6966,0.0504,< LOD,0.0024,0.1112,0.0095,0.9036,0.0111,0.4084,0.0064,< LOD,0.0021,< LOD,0.0005,0.0009,0.0008,0.0019,0.0009,0.3491,0.0069,< LOD,0.0014,0.0006,0.0005,< LOD,0.0004,0.0035,0.0005,< LOD,0.0006,< LOD,0.0005,0.0065,0.0006,0.0293,0.0012,0.0066,0.0009,< LOD,0.0036,< LOD,0.0033,0.0028,0.0022,< LOD,0.0042,0.0671,0.0185,< LOD,0.0007,< LOD,0.001,0.0026,0.0024,Passed
2,T5R3,0,4801,1/30/2006 18:04,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.2179,0.658,2.8673,0.1221,24.313,0.0858,0.0152,0.0033,0.0762,0.0079,1.0888,0.013,1.0614,0.0099,< LOD,0.0026,< LOD,0.0004,0.0033,0.0009,0.0129,0.0012,1.162,0.0129,< LOD,0.001,0.0014,0.0007,0.0007,0.0005,0.0021,0.0005,< LOD,0.0003,< LOD,0.0003,0.0091,0.0008,0.0311,0.0007,0.0194,0.0007,< LOD,0.0021,< LOD,0.0021,< LOD,0.0013,< LOD,0.0062,0.1434,0.0257,< LOD,0.0008,< LOD,0.0006,< LOD,0.0013,Passed
3,T5R3,0,4802,1/30/2006 18:05,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.7831,0.6223,3.7315,0.0897,23.7268,0.0607,0.0177,0.0033,0.0764,0.0086,0.9728,0.012,0.4626,0.0068,0.1255,0.0035,0.0058,0.0005,0.0014,0.0009,0.0167,0.0013,1.193,0.0127,< LOD,0.0019,< LOD,0.0005,0.0007,0.0004,0.0031,0.0005,0.001,0.0005,< LOD,0.0004,0.0066,0.0006,0.0175,0.0009,0.0349,0.0011,< LOD,0.0029,< LOD,0.003,< LOD,0.0019,< LOD,0.0044,0.0343,0.0181,< LOD,0.0007,< LOD,0.0009,< LOD,0.002,Passed
3,T5R3,0,4803,1/30/2006 18:06,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.1071,0.6325,3.6007,0.0932,23.5018,0.0629,0.021,0.0035,0.0748,0.0088,1.0483,0.0125,0.5116,0.0072,0.1319,0.0036,0.0049,0.0005,0.0041,0.0009,0.0213,0.0013,1.99,0.0166,< LOD,0.0014,0.0009,0.0007,0.0015,0.0005,0.0053,0.0007,0.0008,0.0004,< LOD,0.0003,0.0109,0.0008,0.0169,0.0007,0.036,0.0008,< LOD,0.0022,< LOD,0.0022,< LOD,0.0014,< LOD,0.0057,0.0636,0.023,< LOD,0.0009,< LOD,0.0006,0.0021,0.0015,Passed
4,T5R3,0,4804,1/30/2006 18:08,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.1925,0.6432,4.3257,0.1177,24.1828,0.0721,0.0206,0.0038,0.0512,0.0085,1.4386,0.0148,0.5468,0.0075,0.1499,0.0039,0.0045,0.0005,0.0027,0.001,0.0308,0.0015,1.801,0.0158,< LOD,0.0018,< LOD,0.0006,0.0007,0.0005,0.0037,0.0006,< LOD,0.0004,< LOD,0.0004,0.011,0.0007,0.0185,0.0008,0.0379,0.001,< LOD,0.0026,< LOD,0.0025,< LOD,0.0017,< LOD,0.0049,0.0591,0.0198,< LOD,0.0008,< LOD,0.0008,0.0037,0.0018,Passed
4,T5R3,0,4805,1/30/2006 18:09,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.6488,0.679,3.8055,0.1075,22.9409,0.0659,0.017,0.0036,0.0953,0.0094,1.4408,0.0146,0.5832,0.0077,0.1727,0.0039,0.0087,0.0006,0.0018,0.0009,0.0289,0.0014,2.0503,0.0169,< LOD,0.0017,< LOD,0.0006,0.0009,0.0005,0.005,0.0007,< LOD,0.0004,< LOD,0.0004,0.0117,0.0008,0.018,0.0008,0.0389,0.0009,< LOD,0.0025,< LOD,0.0024,< LOD,0.0015,< LOD,0.005,0.0498,0.0199,< LOD,0.0008,< LOD,0.0008,0.0029,0.0017,Passed
5,T5R3,0,4806,1/30/2006 18:11,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.2331,0.5297,4.6284,0.1374,28.3541,0.0957,0.0081,0.0035,0.5603,0.0123,2.2444,0.0185,0.88,0.0091,0.1699,0.0041,0.005,0.0004,0.0052,0.0009,0.0284,0.0015,1.1412,0.0128,< LOD,0.001,< LOD,0.0006,0.0009,0.0005,0.0021,0.0004,< LOD,0.0003,< LOD,0.0003,0.0086,0.0007,0.0275,0.0007,0.0059,0.0005,< LOD,0.0021,< LOD,0.0021,< LOD,0.0014,< LOD,0.0056,0.1086,0.0216,< LOD,0.0009,< LOD,0.0006,0.0017,0.0013,Passed
5,T5R3,0,4807,1/30/2006 18:12,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.9511,0.5175,4.7069,0.1269,26.8768,0.0852,0.0115,0.0033,0.625,0.0133,1.7712,0.0163,0.931,0.0093,< LOD,0.0029,< LOD,0.0004,< LOD,0.0009,0.0185,0.0014,1.0789,0.0126,< LOD,0.0007,0.0015,0.0007,0.0007,0.0005,0.0023,0.0005,< LOD,0.0003,< LOD,0.0002,0.015,0.0008,0.0289,0.0006,0.0111,0.0005,< LOD,0.0019,< LOD,0.0018,< LOD,0.0013,< LOD,0.0069,0.1945,0.0287,< LOD,0.001,< LOD,0.0005,< LOD,0.0011,Passed
1,T5R3,0,4808,1/30/2006 18:14,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,3.7119,0.7794,0.6914,0.0539,15.8827,0.0295,< LOD,0.0021,0.2141,0.0118,0.2143,0.0058,0.1921,0.0046,< LOD,0.0017,< LOD,0.0005,< LOD,0.0007,< LOD,0.0007,0.5579,0.0087,< LOD,0.0018,< LOD,0.0005,< LOD,0.0004,0.0017,0.0005,0.0008,0.0006,< LOD,0.0005,0.0044,0.0007,0.0263,0.0012,0.0058,0.0009,< LOD,0.0037,< LOD,0.0035,0.0024,0.0021,< LOD,0.0043,0.0558,0.0188,< LOD,0.0007,< LOD,0.001,< LOD,0.0025,Passed
2,T5R3,0,4809,1/30/2006 18:15,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.6777,0.6398,3.0893,0.1199,24.9298,0.0855,0.0106,0.0031,0.1095,0.0083,1.0876,0.013,1.0472,0.0097,< LOD,0.0026,< LOD,0.0004,< LOD,0.0009,0.0081,0.0012,1.2145,0.0132,< LOD,0.0009,0.0012,0.0006,0.0015,0.0005,0.0026,0.0005,0.0005,0.0003,< LOD,0.0003,0.0109,0.0008,0.035,0.0008,0.0211,0.0007,< LOD,0.0021,< LOD,0.002,< LOD,0.0013,< LOD,0.0064,0.1351,0.0262,< LOD,0.0009,< LOD,0.0006,< LOD,0.0013,Passed
6,T5R3,0,4810,1/30/2006 18:17,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.1849,0.5955,4.6847,0.1356,26.606,0.089,0.0074,0.0033,0.5248,0.0126,1.5712,0.0156,1.0389,0.0098,0.0367,0.0033,< LOD,0.0004,< LOD,0.0009,0.0184,0.0014,0.9663,0.0119,< LOD,0.0008,0.0008,0.0007,0.0012,0.0005,0.0027,0.0005,< LOD,0.0003,0.0003,0.0003,0.0111,0.0008,0.0365,0.0007,0.0071,0.0005,< LOD,0.0019,< LOD,0.0019,< LOD,0.0013,0.0067,0.0065,0.1538,0.0271,< LOD,0.001,< LOD,0.0005,0.0012,0.0012,Passed
6,T5R3,0,4811,1/30/2006 18:18,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.6626,0.5666,4.3079,0.124,26.8906,0.0864,0.008,0.0033,0.4768,0.0121,1.3393,0.0144,0.9365,0.0093,0.0132,0.0032,< LOD,0.0004,< LOD,0.0009,0.0131,0.0013,0.9651,0.0118,< LOD,0.0007,0.001,0.0007,0.0011,0.0005,0.0028,0.0005,< LOD,0.0003,< LOD,0.0003,0.011,0.0008,0.0349,0.0007,0.0067,0.0005,< LOD,0.0019,< LOD,0.0019,< LOD,0.0013,< LOD,0.0068,0.1603,0.0278,< LOD,0.001,< LOD,0.0005,0.0012,0.0012,Passed
7,T5R3,0,4812,1/30/2006 18:19,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,0.7115,0.4104,6.551,0.155,30.1805,0.1003,0.0296,0.0044,0.0875,0.0071,2.2667,0.0191,1.0481,0.0099,0.202,0.0045,0.0037,0.0004,< LOD,0.0008,0.0397,0.0017,2.1527,0.0176,< LOD,0.0012,< LOD,0.0007,0.0013,0.0005,0.004,0.0005,0.0006,0.0003,< LOD,0.0003,0.0117,0.0007,0.0429,0.0008,0.0237,0.0007,< LOD,0.002,< LOD,0.002,< LOD,0.0014,< LOD,0.0059,0.1252,0.0219,< LOD,0.0009,< LOD,0.0006,0.0023,0.0013,Passed
7,T5R3,0,4813,1/30/2006 18:21,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,3.8116,0.8355,1.0044,0.0598,16.7948,0.0341,< LOD,0.0024,0.101,0.0102,0.4875,0.0083,0.2322,0.005,< LOD,0.002,< LOD,0.0005,< LOD,0.0008,< LOD,0.0008,0.2401,0.0057,< LOD,0.0028,< LOD,0.0004,< LOD,0.0003,0.0015,0.0004,< LOD,0.0009,< LOD,0.0008,0.0032,0.0005,0.0422,0.0022,0.0137,0.0017,< LOD,0.006,< LOD,0.0057,0.0053,0.0036,< LOD,0.0028,0.0373,0.0128,< LOD,0.0005,< LOD,0.0017,< LOD,0.0039,Passed
7,T5R3,0,4814,1/30/2006 18:22,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.0058,0.4166,6.1772,0.1503,30.2627,0.1,0.035,0.0044,0.0896,0.007,2.4164,0.0196,0.9073,0.0093,0.2355,0.0046,0.0054,0.0004,0.0024,0.0009,0.0479,0.0017,1.8812,0.0163,< LOD,0.0014,0.0008,0.0007,0.0007,0.0005,0.0031,0.0005,0.0009,0.0004,< LOD,0.0003,0.011,0.0006,0.0301,0.0008,0.0222,0.0007,< LOD,0.0023,< LOD,0.0023,< LOD,0.0016,< LOD,0.0053,0.0958,0.0202,< LOD,0.0008,< LOD,0.0007,0.0022,0.0014,Passed
8,T5R3,0,4815,1/30/2006 18:24,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,1.6174,0.6218,4.8464,0.1424,26.0381,0.0894,0.0203,0.0038,0.1372,0.0089,1.8015,0.0168,0.9537,0.0096,0.1293,0.004,0.002,0.0005,< LOD,0.001,0.0342,0.0016,1.7018,0.0156,< LOD,0.0013,0.0013,0.0007,0.0018,0.0005,0.0037,0.0006,0.0005,0.0003,< LOD,0.0003,0.0101,0.0007,0.0324,0.0008,0.0199,0.0007,< LOD,0.0022,< LOD,0.0022,< LOD,0.0015,< LOD,0.0056,0.1126,0.0225,< LOD,0.0008,< LOD,0.0006,0.0018,0.0014,Passed
8,T5R3,0,4816,1/30/2006 18:25,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.3153,0.6483,3.6224,0.1122,22.097,0.0667,0.0187,0.0037,0.1438,0.0104,1.8573,0.0165,0.6444,0.0081,0.1486,0.0039,0.0058,0.0006,0.002,0.0009,0.028,0.0014,4.332,0.0251,< LOD,0.0019,< LOD,0.0008,0.0025,0.0007,0.008,0.0009,0.0011,0.0004,< LOD,0.0003,0.0162,0.0009,0.0193,0.0007,0.0347,0.0008,< LOD,0.0021,< LOD,0.0021,< LOD,0.0012,< LOD,0.0064,0.0904,0.0257,< LOD,0.001,< LOD,0.0006,0.0015,0.0014,Passed
9,T5R3,0,4817,1/30/2006 18:26,Supervisor,mna288,topside-cyanobacteria,t28,b4,soil,Soil,SoilNCDual,60,,0,,0,,0,2.5928,0.774,1.7887,0.1035,20.5884,0.0689,0.0046,0.0027,0.1225,0.0094,0.7765,0.0108,0.5982,0.0076,< LOD,0.0023,< LOD,0.0005,< LOD,0.0008,0.004,0.001,0.5256,0.0086,< LOD,0.0008,0.0006,0.0006,< LOD,0.0005,0.0018,0.0005,0.0005,0.0003,< LOD,0.0003,0.0065,0.0007,0.0349,0.0009,0.0094,0.0006,< LOD,0.0025,< LOD,0.0024,0.0019,0.0015,< LOD,0.006,0.0775,0.0264,< LOD,0.0009,< LOD,0.0006,< LOD,0.0014,Passed
